"ITEM_NAME","DRUG_SHAPE","COLOR_CLASS","CHART","LINE_FRONT","LINE_BACK"
"디스톤골드연질캡슐","장방형","갈색","황갈색의 내용물이 든 적갈색의 장방형의 연질캅셀제 ","null","null"
"리리스정","장방형","노랑","담황색의 장방형 필름코팅정제","null","-"
"콘로친300연질캡슐","장방형","갈색","황갈색의 내용물이 든 적갈색의 장방형 연질캅셀제","null","null"
"케티맥스정100밀리그램(푸마르산쿠에티아핀)","원형","노랑","한면에 “SZ""와 다른 한면에 ”231“이 새겨진 노란색의 양면이 볼록한 원형필름코팅정제","null","null"
"헤모윈연질캡슐","장방형","갈색","갈색의 내용물을 함유한 암갈색의 장방형 연질캡슐","null","null"
"잔타놀정","장방형","하양","흰색의 장방형 필름코팅정","null","null"
"푸로콜에스캡슐","장방형","갈색","백색 또는 황색의 분말 또는 과립이 들어있는 상,하부 적갈색의 경질캡슐제","null","null"
"한신타미놀캅셀(아세트아미노펜)","장방형","하양","백색의 가루가 충진된 상·하부 흰색의 캅셀제","null","null"
"아스노캅셀","장방형","노랑","백색의 과립 및 분말이 들었는 상하부 미황색의 경질캅셀제","null","null"
"아토스타정10밀리그램(아토르바스타틴칼슘삼수화물)","타원형","하양","흰색의 타원형 필름코팅정","null","null"
"비텐지연질캡슐","장방형","갈색","황색의 내용물을 함유한 암적색의 장방형 연질캡슐","null","null"
"라시핀정(라시디핀)","타원형","하양","흰색의 타원형 필름코팅정제","-","-"
"포스펜정","장방형","하양","백색의 장방형 정제","-","null"
"보령세파클러캡슐(세파클러수화물)","장방형","파랑","수출용 : 이약은 상부가 청색 불투명이고, 하부가 백색 불투명인 캡슐제이다. 캡슐 내용물은 백색 -황백색의 결정성 가루이며, 냄새는 없거나또는 약간 특이한 냄새가 있으며, 맛은 약간 쓰다.내수용 : 연한 노란색의 분말이 충전된 상부 청색불투명, 하부 흰색 불투명 경질 캡슐제","null","null"
"리피다운캡슐60밀리그램(오르리스타트)","장방형","파랑","흰색 내지 연한노란색의 펠렛이 든 청록색의 경질캡슐제","null","null"
"아지탑스정250밀리그램(아지트로마이신수화물)","타원형","하양","흰색의 장방형 필름코팅정","null","null"
"수마트란정50밀리그램(수마트립탄숙신산염)","장방형","분홍","분홍색의 장방형 필름코팅정","null","null"
"바로디핀정5밀리그램(암로디핀베실산염)","팔각형","하양","흰색의 팔각형 정제","-","null"
"아네페질속붕정(도네페질염산염일수화물)","원형","하양","흰색 또는 연한 노란색의 원형 속붕해성 정제","null","null"
"사르반정80밀리그램(발사르탄)","원형","분홍","엷은 적색의 둥근 필름코팅정제","-","null"
"레보텍캡슐(레보드로프로피진)","장방형","갈색","흰색의 분말이 충진된 상부 연갈색, 하부 담황색의 경질캡슐제","null","null"
"로비텐연질캡슐","타원형","갈색","황색～황갈색의 유상 내용물이 든 암자색의 장방형 연질캡슐","null","null"
"맥스콜연질캡슐","장방형","빨강","백색 또는 엷은 적색의 내용물이 충진된 적색의 장방형 연질캡슐제","null","null"
"속콜파워연질캡슐(수출용)","장방형","주황, 투명","미황색 내지 주황색의 액상 내용물이 든 투명한 주황색의 장방형 연질캡슐","null","null"
"쿨드림연질캡슐(디펜히드라민염산염)","타원형","청록, 투명","무색 내지 연한 청록색의 투명한 액상의 내용물을 함유한 연청록색의 볼록한 타원형 연질캡슐","null","null"
"긴코센정120밀리그램(은행엽건조엑스)","원형","초록","녹색의 원형 필름코팅정","null","null"
"칼루타미정150밀리그램(비칼루타미드)","원형","하양","흰색 또는 거의 흰색의 원형 필름코팅정","null","null"
"씨탈정(에스시탈로프람옥살산염)","타원형","하양","흰색의 타원형 필름코팅정제","-","null"
"미가드정2.5밀리그램(프로바트립탄숙신산염일수화물)","원형","하양","양면이 볼록한 흰색 원형 필름코팅정","null","null"
"마이녹실에스캡슐","장방형","빨강","연회색 가루의 내용물이 든 상부는 적갈색, 하부는 미황색의 불투명 경질캡슐제","null","null"
"비알칸다플러스정","장방형","분홍","양면이 볼록한 연한 분홍색의 장방형 정제","-","-"
"변락소정","원형","노랑","황색의 광택이 있는 장용성 원형 필름제피정","null","null"
"콜리브정","장방형","하양","백색의 장방형 필름코팅정","null","null"
"지르세틴정10밀리그램(세티리진염산염)","타원형","노랑","미황색의 타원형 필름코팅정","-","null"
"실리웰골드연질캡슐(밀크시슬열매건조엑스)","장방형","갈색","황갈색의 유상 내용물을 함유한 암적색의 장방형 연질캡슐","null","null"
"디펜에이정","장방형","주황","미황색의 장방형 필름코팅정","null","-"
"로큅정0.25밀리그램(로피니롤염산염)","오각형","하양","흰색의 오각형 필름코팅정제","null","null"
"칼인비연질캡슐","장방형","초록","유백색 내용물이 든 암녹색의 장방형 연질캡슐","null","null"
"칸데모어정16밀리그램(칸데사르탄실렉세틸)","원형","분홍","분홍색의 양면이 볼록한 원형 정제","-","null"
"코큐모아연질캡슐","장방형","갈색","황갈색의 내용물을 함유한 암갈색의 장방형 연질캡슐","null","null"
"칼본큐포르테플러스 연질캡슐","장방형","갈색","유백색의 유상내용물을 함유한 암갈색의 장방형 연질캡슐","null","null"
"로큅정1밀리그램(로피니롤염산염)","오각형","연두","녹색의 오각형 필름코팅정제","null","null"
"덴타칸캡슐","장방형","파랑","엷은 주황색 가루가 든 상 하부 담청색의 경질캡슐","null","null"
"바로자미연질캡슐(디펜히드라민염산염)","타원형","청록, 투명","무색 투명한 액상의 내용물을 함유한 연청록색의 볼록한 타원형 연질캡슐","null","null"
"알벤프리졸정(알벤다졸)","장방형","주황","연한 주황색의 장방형 필름코팅제","null","null"
"로노펜300연질캡슐(덱시부프로펜)","타원형","초록, 투명","무색 또는 연한 녹색의 투명한 내용물을 함유하는 녹색 투명의 장방형 연질캡슐제","null","null"
"이모돌정(옥수수불검화정량추출물)","장방형","주황","오렌지색의 장방형 필름코팅정","null","null"
"칸데플러스정","장방형","주황","양면이 볼록한 연한 분홍색의 장방형 정제","null","null"
"프릴리지정60밀리그램(다폭세틴염산염)","원형","회색","회색의 원형 필름코팅정","null","null"
"프로코라란정5밀리그램(이바브라딘염산염)","타원형","주황","한 면에      모양, 다른 면에 “5” 가 새겨진 흐린 노란주황색의 장방형 필름코팅정","null","null"
"프로코라란정7.5밀리그램(이바브라딘염산염)","삼각형","주황","한 면에      모양, 다른 면에 “7.5” 가 새겨진 흐린 노란주황색의 삼각형 필름코팅정","null","null"
"뉴피오정(피오글리타존염산염)","원형","하양","백색 내지 회백색의 원형 정제","null","null"
"칸다이플러스정","타원형","주황","양면이 볼록한 연한 분홍색의 장방형 정제","-","-"
"페이론캡슐(아미노벤조산칼륨)","장방형","하양","미황색의 분말이 들어있는 상하부 불투명 흰색의 경질캡슐","null","null"
"레복사신정250밀리그램(레보플록사신수화물)","장방형","분홍","분홍 내지 진분홍색의 장방형 필름코팅정","null","null"
"피륵산정200밀리그램(부플로메딜인산피리독살)","장방형","노랑","연한 노란색의 장타원형 필름코팅정제","-","null"
"클라리틴정(로라타딘)","타원형","하양","흰색의 타원형 정제","-","null"
"세자르플러스프로정(로사르탄칼륨,히드로클로로티아지드)","타원형","하양","흰색 내지 회백색의 타원형 필름코팅정제","null","-"
"칸데사플러스정","장방형","주황","양면이 볼록한 연한 분홍색의 장방형 정제","-","-"
"애드릴정5밀리그램(이미다프릴염산염)","원형","하양","흰색의 원형정제, 간혹 특이한 냄새가 있다.","null","null"
"베리콜 콜드 캡슐","장방형","빨강","미황색의 분말이 든 상,하 주홍색의 경질 캡슐제","null","null"
"에피스캡슐","장방형","빨강","어두운 적색의 결정 또는 가루가 소량 섞여 있는 연분홍색의 분말이 들어있는 상,하 등적색의 경질캡슐제","null","null"
"키드업정","타원형","분홍","분홍색의 타원형 츄어블정","null","null"
"판토마그정","장방형","하양","흰색 타원형 필름 코팅정제","null","null"
"트랜미정","원형","하양","흰색의 원형필름코팅정","null","null"
"써큐징코연질캡슐(수출용)","타원형","갈색","암갈색의 유양물을 함유한 녹색의 타원형 연질캡슐","null","null"
"로페란캡슐","장방형","노랑","노랑색의 분말이 든 상부 등황색, 하부 흰색의 경질캡슐","null","null"
"이모나에프캡슐(수출용)","장방형","파랑","회녹색 분말이 든 상하 암청색의 경질캡슐","null","null"
"큐크린정","원형","노랑","황색의 장용성 원형 필름코팅정제","null","null"
"콘탑정","장방형","갈색","암갈색의 장방형 필름코팅정","null","null"
"덱시쿨펜연질캡슐(덱시부프로펜)","타원형","분홍, 투명","미황색의 투명한 유상내용물이 든 진한 녹색의 투명한 타원형 연질캅셀","null","null"
"메디큐텐정","장방형","갈색","적갈색의 장방형 필림코팅정","null","null"
"러지펜정","원형","노랑","황색의 원형 필름코팅정","null","null"
"비타모니에이스연질캡슐","장방형","갈색","적갈색의 내용물을 함유한 암적색의 장방형 연질캡슐","null","null"
"비타올큐연질캡슐","장방형","갈색","적색의 내용물을 함유한 암갈색의 장방형 연질캡슐","null","null"
"쎌크비타연질캡슐(수출용)","장방형","자주","미황갈색의 유상 내용물을 함유한 적갈색의 장방형 연질캡슐","null","null"
"덱시브연질캡슐(덱시부프로펜)","타원형","초록, 투명","무색의 투명한 액이 든 연한 청록색의 투명한 달걀형 연질캡슐","null","null"
"덱시카이플러스연질캡슐(덱시부프로펜)","타원형","초록, 투명","무색 내지 미황색의 투명한 내용물을 함유하는 투명의 장방형 연질캡슐제","null","null"
"메타러정","장방형","하양","흰색의 장방형 정제","null","null"
"토코네슘연질캡슐","장방형","갈색","미황색의 유상물질이 든 적갈색의 장방형 연질캡슐","null","null"
"알지엔스피드연질캡슐10밀리그램(세티리진염산염)","타원형","보라, 투명","무색 내지 연보라색의 내용물이 든 보라색의 투명한 타원형 연질캡슐","null","null"
"아스몬츄정5밀리그램(몬테루카스트나트륨)","원형","분홍","양면이 볼록한 원형의 씹어먹는 분홍색 정제","null","null"
"산도스프라미펙솔정0.25밀리그램(프라미펙솔염산염)","타원형","하양","흰색 또는 미백색의 타원형정제","-","-"
"에스케이코스카플러스프로정","타원형","하양","흰색 내지 회백색의 타원형 필름코팅정제","null","null"
"원살탄플러스프로정","타원형","하양","흰색 내지 회백색의 타원형 필름코팅정제","null","null"
"산도스프라미펙솔정1밀리그램(프라미펙솔염산염)","원형","하양","흰색 또는 미백색의 원형정제","-","-"
"라파뮨정2밀리그램(시롤리무스)","삼각형","노랑","삼각형의 황색 ～ 미황색 당의정","null","null"
"산도스프라미펙솔정0.5밀리그램(프라미펙솔염산염)","타원형","하양","흰색 또는 미백색의 타원형 정제","-","-"
"레보세린정(레보세티리진염산염)","타원형","하양","흰색 또는 연한 노란색의 타원형 필름코팅정","null","null"
"아스몬츄정4밀리그램(몬테루카스트나트륨)","타원형","분홍","양면이 볼록한 타원형의 씹어먹는 분홍색 정제","null","null"
"리비알정(티볼론)","원형","하양","한면에 MK와 2가 다른 한 면에 ORGANON★가 각인된 흰색의 원형정제","null","null"
"제니낙스정200밀리그램(가레녹사신메실산염수화물)","팔각형","주황","이 약은 담등색의 필름코팅정이다.","null","null"
"산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염)","원형","하양","흰색 또는 미백색의 원형 정제","null","null"
"일양로자탄플러스프로정","타원형","하양","흰색 내지 회백색의 타원형 필름코팅정","null","null"
"로나센정2밀리그램(블로난세린)/ 로나센정4밀리그램(블로난세린)","원형","하양","흰색의 원형 정제","null","null"
"로핀플러스프로정","타원형","하양","흰색 내지 회백색의 타원형 필름코팅정제","null","-"
"로펜정(방풍통성산건조엑스(4.6→1))","기타","주황","황색의 사과모양 필름코팅정","null","-"
"훼리너프에프캡슐","장방형","갈색","갈색 분말이 충진된 상 · 하부 농갈색의 경질캡슐제","null","null"
"케라민캡슐","장방형","노랑","연회색 가루의 내용물이 든 상, 하부 미황색의 불투명한 경질캡슐제","null","null"
"씨렉신캡슐(은교산건조엑스 8.16→1)","장방형","주황","갈색의 분말이 든 상부 주황색, 하부 미황색의 경질캡슐제","null","null"
"솔라제정(프로나제B)","원형","하양","흰색의 원형 장용성 정제","null","null"
"에피니틴캡슐","장방형","빨강","분홍색의 분말을 함유한 적색의 경질캡슐제","null","null"
"모아리버골드연질캡슐","장방형","갈색","황갈색의 내용물을 함유한 황녹색의 장방형 연질캡슐","null","null"
"덴탑플러스캡슐","장방형","빨강","엷은 주황색의 분말이 든 상하부 적갈색의 경질캅셀","null","null"
"알러샷연질캡슐(세티리진염산염)","타원형","보라, 투명","무색 내지 연보라색의 내용물이 든 보라색의 투명한 타원형 연질캡슐","null","null"
"쎄로켈서방정150밀리그램(쿠에티아핀푸마르산염)","장방형","하양","흰색 캡슐모양의 양면이 볼록한 필름코팅정","null","null"
"씨렉신정(은교산연조엑스 4.08→1)","장방형","연두","녹색의 장방형 필름코팅정","null","null"
"더마화이트정","원형","하양","흰색 원형의 필름코팅정","null","null"
"제로정150mg(덱시부프로펜)","마름모형","파랑","연한 파란색의 마름모형 필름코팅정제","null","null"
"클라빅신정(클로피도그렐황산수소염)","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"제이더블유신약로잘탄플러스프로정","타원형","하양","흰색 내지 회백색의 타원형 필름코팅정제","null","null"
"산도스에스시탈로프람정10밀리그램(에스시탈로프람옥살산염)","타원형","하양","흰색의 타원형 필름코팅정제","-","null"
"베어비타정","타원형","노랑","노란색의 타원형 필름코팅정","null","null"
"에키나포스프로텍트정","원형","노랑","녹색빛을 띤 유백색의 원형정제","null","null"
"쎌크존 연질캡슐","장방형","초록","황갈색의 내용물을 함유한 암녹색의 장방형 연질캡슐","null","null"
"바이라민골드플러스정","타원형","노랑","노란색의 타원형 필름코팅정","null","null"
"리노반10캡슐(시부트라민말레산염)","장방형","파랑","흰색 또는 유백색의 분말을 함유하는 상부 청색, 하부 황색의 경질캡슐제","null","null"
"비스칸엔캡슐(바실루스리케니포르미스균)","장방형","하양","흰색의 분말이 든 상부 하부 흰색의 캡슐제","null","null"
"화이트프로젝트정","원형","하양","연한 분홍빛을 띄는 흰색의 원형 필름코팅 정제","null","null"
"젠스큐민 연질캡슐","장방형","갈색","황갈색의 유상내용물을 함유한 적갈색의 장방형의 연질캡슐","null","null"
"도파로핀정1밀리그램(로피니롤염산염)","오각형","파랑","양면이 볼록한 오각형의 연한 청록색의 필름코팅정","null","null"
"칸단테플러스정16/12.5mg","타원형","주황","양면이 볼록한 연한 분홍색의 장방형 정제","-","-"
"메토신필름코팅정","장방형","하양","흰색의 장방형 필름코팅정","null","null"
"헵타바캡슐","장방형","빨강","분홍색 분말이 들어있는 상하부 적색의 경질캡슐제","null","null"
"아나탄플러스정","장방형","분홍","연한 주황색의 타원형 정제","null","null"
"칸세틸플러스정","장방형","분홍","양면이 볼록한 연한 분홍색의 장방형 정제","-","-"
"칸자탄플러스정","타원형","분홍","양면이 볼록한 연한 분홍색의 장방형 정제","null","-"
"원스에어정10밀리그램(몬테루카스트나트륨)","사각형","주황","연노랑의 양면이 볼록한 사각형의 필름코팅정제","null","null"
"발사벨정40밀리그램(발사르탄)","타원형","노랑","황색의 둥근 타원형 필름코팅정","-","null"
"고려칸데사르탄플러스정","장방형","주황","양면이 볼록한 연한 분홍색의 장방형 정제","null","-"
"아피니토정5밀리그램(에베로리무스)","장방형","하양","흰색 내지 엷은 미황색의 장방형 정제","null","null"
"카바딜플러스정16/12.5mg","타원형","주황","양면이 볼록한 연한 분홍색의 장방형 정제","-","-"
"버퍼린플러스정","원형","하양","흰색∼엷은 황색의 원형필름코팅정","null","null"
"맥스타제-에스정","장방형","하양","흰색 타원형의 필름코팅정","null","null"
"핑크프로캡슐","장방형","빨강","흰색의 분말이 충진된 상부 적색, 하부 황색의 경질캡슐제","null","null"
"콜디콜캡슐","장방형","노랑","갈색 및 백색의 과립이 들어있는 상·하부 담황색의 경질캡슐제","null","null"
"리세바플러스연질캡슐","타원형","갈색","황갈색의 내용물을 함유하는 암갈색의 장방형 연질캡슐제","null","null"
"아이텐연질캡슐","타원형","검정","적보라색의 내용물이 든 흑색의 타원형 연질캡슐","null","null"
"헤모웰 연질캡슐","타원형","갈색","적갈색의 내용물을 함유한 암갈색의 타원형 연질캡슐","null","null"
"지메톨연질캡슐(옥수수불검화정량추출물)","타원형","주황","황색의 내용물이 든 주황색의 타원형 연질캡슐","null","null"
"프로펜디연질캡슐(덱시부프로펜)","장방형","노랑, 투명","무색 내지 미황색의 투명한 내용물을 함유하는 투명의 장방형 연질캡슐제","null","null"
"실리세프연질캡슐350밀리그램(밀크시슬열매건조엑스)","장방형","갈색","황갈색의 유상 내용물을 함유한 암적색(검붉은색)의 장방형 연질캡슐","null","null"
"베어타민정","장방형","분홍","엷은 주황색의 장방형 정제","null","null"
"다이락스-큐정","원형","연두","연두색의 원형 장용성 정제","null","null"
"하이점프츄어블정","삼각형","분홍","특이한 모양을 가진 분홍색(딸기향), 주황색(오렌지향)의 씹어먹는 정제","null","null"
"쥬르택정(세티리진염산염)","장방형","하양","흰색의 장방형 필름코팅정제","null","-"
"다비움정","장방형","분홍","연분홍색의 장방형 필름코팅정제","-","-"
"헵타마인플러스연질캡슐","타원형","갈색","황갈색의 내용물을 함유한 황녹색의 장방형 연질캡슐","null","null"
"폴리아린캡슐","장방형","노랑","엷은 황갈색의 분말이 든 상부는 황갈색, 하부는 미황색의 경질 캡슐제","null","null"
"마이덴트파워캡슐","장방형","파랑","엷은 주황색가루가 든 상부 담청색, 하부 암청색의 경질 캡슐제","null","null"
"토마스연질캡슐","장방형","갈색","회백색 유상물질이 들어있는 적갈색의 장방형 연질캡슐제","null","null"
"셀레토코플러스연질캡슐","장방형","갈색","미황갈색의 내용물이 들어있는 적갈색 연질캡슐","null","null"
"덱스모아연질캡슐(덱시부프로펜)","타원형","초록, 투명","무색 내지 연한 청록색의 투명한 내용물이 든 연청록색의 투명한 장방형 연질캡슐","null","null"
"콘트라스300연질캡슐","타원형","갈색","황색의 내용물이 충진된 적갈색의 장방형 연질캡슐","null","null"
"리버큐연질캡슐(밀크시슬열매건조엑스)","장방형","초록","황갈색의 유상 내용물을 함유한 녹색의 장방형 연질캡슐제","null","null"
"아르텍연질캡슐10mg(세티리진염산염)","타원형","보라, 투명","무색 내지 연보라색의 내용물이 든 보라색의 투명한 타원형 연질캡슐","null","null"
"타미린서방정8밀리그램(갈란타민브롬화수소산염)","원형","하양","백색 원형의 필름코팅정","null","null"
"타미린서방정16밀리그램(갈란타민브롬화수소산염)","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"타진서방정 10/5mg","장방형","하양","흰색의 양면이 볼록한 장방형 필름코팅 서방정","null","null"
"타진서방정 20/10mg","장방형","분홍","분홍색의 양면이 볼록한 장방형 필름코팅 서방정","null","null"
"박사르정4밀리그램(라시디핀)","타원형","하양","양면에 홈이 있는 흰색의 타원형 필름코팅정","-","-"
"박사르정2밀리그램(라시디핀)","원형","하양","흰색의 양면이 볼록한 원형 필름코팅정","null","null"
"로킨스정1밀리그램(로피니롤염산염)","오각형","연두","녹색의 오각형 필름코팅정제","null","null"
"도파프로정0.25밀리그램(로피니롤염산염)","오각형","하양","흰색의 오각형 필름코팅정","null","null"
"로킨스정0.25밀리그램(로피니롤염산염)","오각형","하양","흰색의 오각형 필름코팅정제","null","null"
"도파프로정1.0밀리그램(로피니롤염산염)","오각형","연두","녹색의 오각형 필름코팅정","null","null"
"뉴큅정1밀리그램(로피니롤염산염)","오각형","연두","녹색의 오각형 필름코팅정","null","null"
"뉴큅정0.25밀리그램(로피니롤염산염)","오각형","하양","흰색의 오각형 필름코팅정","null","null"
"칸드로플러스정","장방형","주황","양면이 볼록한 연한 분홍색의 장방형 정제","-","-"
"아스몬정10밀리그램(몬테루카스트나트륨)","사각형","주황","연노랑의 양면이 볼록한 사각형의 필름코팅정제","null","null"
"아피니토정10밀리그램(에베로리무스)","장방형","하양","흰색 내지 엷은 미황색의 장방형 정제","null","null"
"가스디알정50밀리그램(디메크로틴산마그네슘)","원형","연두","녹색의 원형 필름코팅정","null","null"
"페라트라정2.5밀리그램(레트로졸)","원형","노랑","어두운 황색의 원형 필름코팅정","null","null"
"졸뎀속붕정(졸피뎀타르타르산염)","원형","하양","흰색의 원형 구강붕해정제","null","null"
"가스프렌정(모사프리드시트르산염이수화물)","장방형","하양","분할선을 가진 흰색의 장방형 필름코팅정제","null","-"
"바르탄정(발사르탄)","원형","분홍","엷은 적색의 원형 필름코팅정","-","null"
"리피논정80밀리그램(아토르바스타틴칼슘삼수화물)","타원형","하양","이 약은 흰색의 타원형 필름코팅정이다.","null","null"
"사르발탄정160밀리그램(발사르탄)","타원형","주황","회색빛을 띠는 오렌지색의 타원형 필름코팅정","null","-"
"가스베트정5밀리그램(모사프리드시트르산염수화물)","장방형","하양","흰색의 장방형 필름코팅정","null","-"
"아푸르탄정150밀리그램(이르베사르탄)","타원형","하양","흰색 또는 거의 흰색의 양쪽이 볼록한 타원형 필름코팅정제","null","null"
"발사르텔정80밀리그램(발사르탄)","원형","분홍","분홍색의 원형 필름코팅정","-","null"
"발사르텔정160밀리그램(발사르탄)","타원형","주황","회색빛을 띠는 오렌지색의 타원형 필름코팅정","-","null"
"동광모니플루메이트정350mg","타원형","하양","크림색의 장방형 정제","null","null"
"에스시탈정5밀리그램(에스시탈로프람옥살산염)","원형","하양","흰색의 원형 필름코팅정","null","null"
"발산정80밀리그램(발사르탄)","원형","분홍","엷은 적색의 원형 필름코팅정","-","null"
"가스리드정5mg(모사프리드시트르산염수화물)","장방형","하양","분할선을 가진 흰색의 장방형 필름코팅정","null","-"
"엑스반정80밀리그램(발사르탄)","원형","분홍","분홍색의 원형 필름코팅정","null","-"
"뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염)","장방형","하양","흰색 내지 거의 흰색의 서방코팅된 펠렛이 들어있는 불투명한 상·하 흰색의 경질캡슐제","null","null"
"발트렙정160밀리그램(발사르탄)","타원형","주황","회색빛을 띠는 오렌지색의 타원형 필름코팅정","-","null"
"수로신디정(탐스로신염산염)","원형","하양","흰색의 원형 정제","null","null"
"로수로드정10밀리그램(로수바스타틴칼슘)","원형","분홍","분홍색의 원형 필름코팅정제","null","null"
"슈니펜정(모니플루메이트)","장방형","하양","크림색의 장방형 정제","null","null"
